Type,Name,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,2/29,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17
country,Global,-1,3,-1,-2,1,4,1,1,-2,-3,-1,1,0,-8,-9,-6,-7,-7,-4,-3,-14,-18,-19,-28,-36,-40,-47,-56,-83
country,Australia,-3,-6,-3,-1,0,0,0,-2,-2,-7,0,-1,4,-12,-6,-12,-8,-6,-3,-4,-10,-4,-10,-12,-8,-11,-12,-30,-43
country,Canada,-5,0,-3,-2,-1,8,-2,-3,1,-12,-8,-4,-7,-12,-7,-2,-4,-8,-9,-1,-13,-18,-19,-28,-40,-41,-47,-60,-94
country,Germany,11,4,3,5,1,2,11,4,5,5,11,7,9,-8,0,-4,-6,-7,4,11,-10,-16,-11,-17,-28,-38,-46,-63,-90
country,Ireland,2,0,4,1,-3,4,-9,-8,-10,-2,-10,-13,10,-6,-7,-1,-15,-13,-5,4,-10,-28,-27,-46,-51,-52,-75,-70,-86
country,Mexico,-5,-5,-4,-3,-1,2,-1,-3,-9,-7,-10,-5,-7,-7,-10,-6,-6,-8,-2,-5,-19,-16,-15,-16,-16,-21,-35,-48,-62
country,United Kingdom,1,-1,-2,0,-1,-4,-6,-5,-5,-8,-2,-3,-2,-7,-11,-9,-12,-5,-3,1,-18,-17,-14,-24,-26,-20,-31,-52,-82
country,United States,0,4,0,-1,2,6,2,2,-1,-1,1,3,2,-7,-9,-5,-5,-6,-3,-2,-14,-18,-19,-28,-36,-42,-48,-56,-84
state,Alabama,-14,7,1,-2,8,2,1,0,-8,-3,-3,-11,2,-32,-29,-23,-15,-3,11,-10,-11,-26,-8,-2,-24,-28,-38,-57,-74
state,Alberta,2,10,2,1,5,0,-1,3,-1,-4,3,2,-4,-10,-4,-1,-8,1,-16,-7,-13,-10,-8,-23,-43,-44,-49,-65,-89
state,Arizona,0,1,8,4,-3,5,2,5,1,3,2,1,-2,-7,-10,0,-4,-3,-2,-3,-7,-14,-20,-18,-26,-24,-37,-54,-77
state,Baja California Sur,-6,-2,-2,-9,1,1,29,6,9,10,-18,-13,-15,3,-17,0,0,-8,-8,-11,-17,-20,-17,-12,-23,-34,-29,-33,-42
state,British Columbia,8,-3,1,6,3,-2,-3,-5,0,-4,-2,-2,-8,-11,-7,-4,-6,-6,-11,-6,-3,-15,-13,-21,-30,-30,-38,-54,-92
state,California,-2,2,5,0,-2,7,3,6,4,3,5,9,-3,-6,-4,-3,-10,-8,-5,-5,-18,-27,-23,-38,-42,-47,-55,-70,-96
state,Colorado,1,-8,-4,7,1,-8,-2,-4,-1,-2,0,22,26,-1,-6,-6,-4,-8,-10,-6,-13,-17,-8,-17,-41,-45,-52,-66,-98
state,Connecticut,8,26,1,-3,-6,2,-2,6,9,-8,-1,4,13,13,-9,-6,-7,-8,-8,0,-12,-20,-20,-43,-50,-58,-57,-55,-100
state,District of Columbia,-5,55,8,0,8,15,11,8,8,1,3,2,5,0,-9,7,-5,-6,0,0,-10,-18,-22,-38,-44,-44,-55,-77,-100
state,Florida,0,-3,-4,-5,2,2,2,5,3,4,2,0,-5,-10,-10,-8,-7,-5,-2,-5,-18,-18,-18,-23,-28,-31,-38,-47,-76
state,Georgia,0,4,-6,-5,-2,-9,-9,2,-4,-4,2,-3,8,-12,-21,-17,-12,-3,-2,7,-4,-15,-17,-23,-34,-36,-47,-66,-88
state,Hawaii,0,2,4,5,4,3,2,-1,9,6,4,-2,-2,-2,-5,-4,-5,-8,-6,-9,-8,-10,-11,-15,-14,-19,-26,-31,-47
state,Illinois,-4,4,-2,-3,6,11,-5,-14,-14,-9,-6,0,2,-13,-12,-3,-5,-7,4,4,-21,-18,-22,-26,-35,-47,-51,-61,-100
state,Indiana,21,13,-15,-8,3,13,6,3,-5,-8,-1,4,18,1,-3,3,5,1,4,4,-17,-11,-16,-29,-34,-48,-51,-67,-96
state,Jalisco,8,9,0,5,-6,2,-9,-4,-13,-16,-15,-12,-6,-18,-15,-23,-13,-12,-2,-4,-23,-19,-2,-6,-17,-20,-38,-57,-73
state,Kansas,39,2,-14,-11,-4,-6,-12,-3,5,-20,-14,2,69,-13,-14,-8,-10,-10,-8,-9,-21,-6,-9,-1,-35,-39,-55,-67,-79
state,Kentucky,11,14,2,6,11,-2,2,-7,-14,-8,0,17,19,-5,0,-6,4,-3,1,3,-17,-21,-20,-26,-30,-46,-55,-74,-100
state,Louisiana,-6,2,9,10,2,11,80,78,4,-15,-10,-1,-19,-42,-53,-25,6,5,5,-2,-8,-13,-16,-23,-28,-34,-50,-55,-100
state,Maryland,6,70,4,1,8,8,8,-3,-8,-1,10,0,25,-5,-4,11,-5,2,-2,-1,-6,-18,-21,-33,-37,-59,-67,-71,-100
state,Massachusetts,0,7,5,-7,-1,11,4,1,1,5,-2,26,-1,13,-4,-5,4,-6,-5,13,-13,-22,-25,-41,-52,-41,-53,-76,-100
state,Mexico City,-8,-9,-1,-2,0,2,0,-2,-10,-8,-8,-9,-9,-9,-9,-4,-9,-8,-1,-10,-29,-17,-18,-16,-16,-20,-36,-46,-48
state,Michigan,-12,0,-9,-12,0,18,1,-8,-27,-19,-12,-6,-4,4,-13,-1,-4,-9,6,1,-14,-10,-18,-21,-43,-49,-54,-78,-100
state,Minnesota,-11,51,-15,-9,17,22,2,19,-1,7,33,1,-1,-9,-2,-3,-17,-12,59,13,-17,-12,-18,-24,-30,-43,-51,-72,-98
state,Missouri,32,17,-1,3,1,-3,-7,-2,-11,-8,-13,2,72,8,0,-3,4,0,-5,-10,-13,-10,-12,-25,-29,-42,-45,-65,-88
state,Nebraska,30,8,6,-1,163,60,4,3,-16,-6,-15,5,-2,16,-14,1,-1,-18,-10,-4,-34,-11,-16,-2,-31,-32,-44,-59,-95
state,Nevada,-19,-18,-1,1,-4,8,1,-1,-14,-7,-6,-4,-15,-28,-27,-11,-10,-6,-6,-7,-11,-18,-12,-21,-31,-40,-37,-69,-94
state,New Jersey,3,70,-4,-2,3,12,6,-7,-9,-8,1,3,10,-5,-12,-2,-4,-16,-6,10,12,-4,-14,-26,-40,-44,-56,-72,-100
state,New Mexico,18,-3,5,8,-4,3,-3,-4,17,3,4,4,-2,-4,-7,-12,-19,-2,-10,-21,0,7,2,-10,-35,-40,-44,-47,-79
state,New South Wales,4,-7,-1,5,8,-5,4,3,-1,-11,4,8,5,-31,-11,-16,-9,-2,5,0,-16,3,-9,-12,-6,-9,0,-32,-57
state,New York,-1,11,1,-4,1,13,6,1,-1,-5,-2,-1,0,-7,-11,-9,-8,-14,-10,-2,-15,-27,-32,-49,-54,-36,-47,-58,-88
state,North Carolina,4,1,-30,-1,4,2,-9,1,5,-1,3,-3,2,-7,-9,-4,-7,-1,-2,-7,-4,-9,-14,-22,-28,-56,-63,-75,-93
state,Nuevo Leon,-12,-12,-10,4,9,10,0,-12,-10,1,-3,15,7,14,8,3,0,-2,14,-4,-16,-4,-15,-20,-26,-34,-57,-64,-86
state,Ohio,-8,1,-5,-7,-7,0,-8,-6,-22,-13,-15,-12,6,-7,-10,-6,-8,-13,-6,-6,-19,-19,-19,-29,-37,-51,-51,-100,-100
state,Oklahoma,51,13,-4,4,-2,-8,-5,3,40,1,2,8,40,-12,5,0,3,2,0,-10,0,-4,-7,1,-20,-29,-31,-53,-83
state,Ontario,-16,-4,-6,-7,-5,14,-2,-6,5,-21,-15,-8,-9,-9,-6,-1,-2,-14,-7,0,-20,-23,-25,-35,-45,-48,-53,-66,-100
state,Oregon,4,-1,4,9,7,20,12,-1,15,3,-3,3,6,8,-8,-3,-3,-4,-7,0,-15,-13,-22,-33,-40,-47,-55,-61,-99
state,Pennsylvania,3,63,0,-3,1,3,0,-5,-3,-3,1,1,30,3,-6,0,2,-9,-3,2,-7,-18,-17,-35,-44,-51,-56,-68,-100
state,Quebec,6,9,-4,-5,5,29,14,20,-1,-11,-10,1,1,-26,-16,5,-3,-8,6,34,-4,-12,-20,-26,-48,-44,-46,-67,-94
state,Queensland,5,2,0,4,2,4,9,7,3,7,6,-8,10,-1,-1,-2,-5,-3,-7,-3,-6,0,-3,-18,9,-4,4,-18,-22
state,Quintana Roo,2,0,-6,-7,2,-1,-2,2,-5,3,-3,6,-8,-14,-16,-17,2,-4,-8,-5,-11,-25,-17,-16,-14,-19,-22,-31,-45
state,Rhode Island,8,0,7,-15,-6,24,14,-13,-13,-9,-2,21,-11,18,-1,7,-12,-2,-7,26,17,-16,-15,-31,-41,-48,-50,-53,-100
state,South Carolina,8,-2,-11,0,10,4,3,2,6,8,11,5,8,1,-8,-7,-7,3,3,-5,-7,-14,-7,-16,-19,-21,-31,-48,-70
state,Tennessee,1,8,-9,3,7,-14,-9,-7,-11,-1,0,-2,-6,-6,-16,-1,-4,-1,2,-7,-17,-16,-22,-28,-34,-41,-46,-60,-86
state,Texas,0,-6,0,2,1,-3,0,9,0,0,4,6,7,-2,-9,-8,1,2,-3,-5,-21,-14,-14,-25,-35,-34,-42,-58,-90
state,Utah,0,3,2,4,5,4,4,13,15,1,1,-1,-12,-13,-6,-5,-3,8,0,-13,-18,-19,-11,-19,-28,-34,-53,-69,-69
state,Victoria,-10,-7,-5,-7,-5,-2,-7,-6,-8,-12,-7,-4,-1,-13,-4,-17,-12,-13,-10,-8,-11,-9,-14,-8,-18,-19,-28,-35,-43
state,Virginia,6,58,-1,-3,6,7,2,2,-5,-3,8,-3,14,-4,-1,-1,-2,5,2,3,-4,-13,-23,-34,-34,-39,-50,-65,-90
state,Washington,9,8,6,3,2,10,-1,-2,5,0,1,-4,-12,-25,-21,-17,-22,-24,-27,-22,-30,-38,-41,-45,-53,-54,-57,-70,-100
city,Atlanta,6,9,-5,-5,-3,-7,-6,1,-3,-4,7,1,8,-17,-21,-11,-9,-2,1,13,1,-14,-14,-26,-35,-34,-44,-78,-93
city,Austin,0,-6,2,3,2,5,3,5,-3,0,8,9,2,0,-8,-11,-6,0,-13,-23,-41,-31,-30,-27,-35,-36,-54,-71,-99
city,Baltimore,10,42,12,-9,12,16,20,9,-4,-1,14,4,16,-19,-5,23,8,8,14,-4,-17,-34,-22,-30,-30,-39,-48,-75,-100
city,Boston,5,15,-3,-12,-2,14,5,3,1,12,1,22,1,1,-10,-4,11,7,-1,10,-14,-29,-30,-47,-56,-64,-70,-81,-100
city,Calgary,0,4,5,0,11,6,-4,1,-3,-4,3,4,-9,-11,-9,-4,-2,2,-10,-4,-11,-8,-7,-27,-48,-51,-54,-73,-96
city,Charlotte,1,-3,-27,-1,0,-11,-6,5,-3,4,13,0,6,-2,-8,-1,-7,4,-5,-10,-8,-12,-18,-30,-35,-34,-36,-68,-97
city,Chicago,-7,-3,-5,-4,7,11,-6,-16,-15,-8,-8,-3,1,-21,-16,-10,-11,-8,4,13,-25,-23,-27,-31,-37,-49,-53,-75,-100
city,Cincinnati,7,1,-6,-6,-8,-12,-8,-7,-33,-15,-16,-11,4,-5,-16,-9,-6,-21,-14,-23,-18,-13,-20,-19,-37,-52,-53,-100,-100
city,Ciudad de México,-8,-9,-2,-3,0,2,0,-2,-10,-9,-8,-8,-8,-8,-8,-4,-9,-8,-1,-9,-29,-16,-18,-16,-16,-20,-38,-58,-73
city,Columbus,-10,0,-3,-6,-8,7,0,-17,-14,-15,-15,-15,22,-14,-9,-11,-10,-9,-5,3,-26,-19,-19,-37,-38,-53,-49,-100,-100
city,Dallas,6,-4,1,3,-3,-2,-2,14,1,-7,6,10,11,1,-6,-8,0,3,-1,-2,-15,-10,-12,-25,-35,-35,-42,-61,-100
city,Denver,-1,-12,-9,14,2,-3,-10,-12,-2,-2,1,27,38,3,-9,-3,-10,-9,-6,2,-20,-19,-4,-17,-46,-46,-50,-56,-100
city,Dublin,-5,-1,7,0,-3,-6,-12,-11,0,-4,-9,-6,4,-3,-9,-2,-11,-10,-4,-7,-11,-29,-30,-46,-46,-54,-70,-71,-87
city,Edmonton,8,17,3,4,2,10,0,9,1,-4,11,8,9,-5,11,6,-14,5,-14,4,-19,-14,-10,-23,-33,-40,-46,-64,-92
city,Fort Lauderdale,-8,-4,-6,-14,-8,-8,-5,10,6,-11,-7,-18,-17,-12,-15,-8,-11,-13,-3,-14,-15,-19,-15,-25,-28,-30,-44,-46,-88
city,Hamburg,13,12,4,12,6,9,11,14,13,1,12,0,-3,-5,1,-5,-8,-3,4,0,-13,-16,-5,-24,-28,-40,-55,-76,-95
city,Honolulu,-3,1,3,9,9,-1,5,0,7,0,0,-6,-9,-6,-9,-11,-13,-12,-9,-18,-15,-16,-17,-20,-18,-22,-32,-40,-55
city,Houston,-2,-8,-3,3,1,-10,4,7,9,1,-6,-6,2,2,-8,-8,7,6,10,7,-14,-17,-8,-24,-33,-34,-40,-61,-100
city,Indianapolis,52,14,-28,-15,4,17,10,16,-4,-3,-8,3,15,-5,-7,3,2,0,1,-1,-29,-20,-25,-35,-47,-58,-49,-71,-100
city,Las Vegas,-22,-19,-6,0,-4,7,-2,-3,-17,-9,-10,-6,-17,-28,-31,-13,-9,-8,-7,-8,-11,-19,-13,-20,-32,-36,-48,-58,-88
city,London,4,1,2,3,-1,-4,-3,-3,-1,-4,-1,-4,-2,-10,-10,-10,-13,-7,-7,-7,-22,-23,-19,-29,-36,-31,-43,-61,-89
city,Los Angeles,7,6,9,1,8,29,12,15,5,0,8,13,-3,-1,4,7,-5,1,-2,-15,-27,-23,-26,-38,-48,-47,-57,-82,-100
city,Louisville,28,11,7,0,6,-11,-5,-5,-11,-9,-13,2,13,-6,-13,-15,-7,-7,-5,3,-22,-21,-24,-30,-33,-52,-57,-75,-100
city,Miami,0,-8,-5,1,5,-7,17,1,-9,0,0,4,-18,-13,-15,-6,-2,-11,-2,10,-9,-15,-18,-22,-27,-30,-36,-46,-78
city,Miami Beach,19,-2,6,7,10,9,16,26,3,3,0,5,5,-8,-8,-15,-16,-8,-3,-10,-11,-17,-20,-22,-21,-24,-23,-43,-71
city,Minneapolis,-14,27,-33,-15,12,33,18,27,12,29,39,11,14,-19,-3,6,-13,-6,61,23,-19,-14,-17,-28,-22,-35,-33,-76,-100
city,Montréal,16,14,-5,-1,14,42,13,21,4,1,-7,13,15,-32,-21,7,0,7,14,38,-14,-22,-26,-24,-48,-43,-42,-66,-94
city,München,8,14,4,10,-1,-6,-4,8,-4,-3,4,6,19,9,-2,8,5,-6,13,-9,-15,-19,-21,-17,-28,-44,-53,-66,-92
city,Naples,-2,-5,-3,7,3,2,-1,8,7,2,2,0,5,-11,-5,-7,-1,0,2,-6,-18,-14,-13,-17,-24,-30,-38,-53,-72
city,Nashville,13,7,-10,7,10,-12,-14,-12,-14,4,12,3,-3,2,-14,2,-3,0,5,-4,-13,-7,-21,-30,-37,-40,-54,-70,-92
city,New Orleans,-9,1,14,23,10,21,109,102,9,-21,-21,-16,-27,-47,-59,-32,5,6,3,-3,-13,-13,-21,-28,-32,-39,-54,-63,-100
city,New York,1,11,3,0,3,13,7,1,1,-2,1,-2,-2,-6,-12,-12,-9,-15,-10,-4,-18,-30,-36,-52,-61,-64,-69,-77,-100
city,Orlando,-6,-3,-12,-7,2,4,5,0,14,21,5,1,4,-18,-18,-18,-2,-1,1,-8,-34,-37,-30,-30,-33,-32,-47,-53,-85
city,Philadelphia,10,55,11,1,2,6,-2,-2,10,13,11,7,21,13,4,6,8,-7,1,3,-7,-14,-16,-39,-40,-48,-54,-85,-100
city,Phoenix,-4,0,11,-1,0,1,7,3,-2,-2,7,-5,-11,-13,-21,-8,-8,-7,-6,-8,-18,-13,-28,-21,-28,-27,-45,-66,-86
city,Pittsburgh,10,24,-14,-9,-4,-4,14,-3,-10,-19,-16,5,32,-12,-11,-2,-10,-17,9,1,-13,-31,-24,-42,-42,-48,-48,-63,-100
city,Portland,1,-4,7,11,6,22,14,-7,17,4,-4,4,9,5,-3,-1,3,0,-3,5,-16,-7,-20,-32,-41,-39,-54,-61,-100
city,Raleigh,7,10,-49,-9,4,1,-11,-9,-5,-1,-4,-2,1,-6,-9,-8,-13,-9,-9,-11,-18,-18,-15,-21,-29,-39,-55,-68,-97
city,San Antonio,-6,-4,-5,2,-6,-15,-15,9,-5,5,1,-6,0,-6,-22,-10,-6,-8,-15,-23,-32,-22,-27,-28,-41,-39,-45,-59,-83
city,San Diego,-1,9,7,-1,-12,-1,-11,-2,-3,4,3,12,-2,4,-2,-3,-1,-1,-1,-7,-13,-34,-31,-43,-43,-42,-49,-62,-100
city,San Francisco,-15,-11,-4,-8,-9,-9,9,16,12,5,-8,-10,-18,-22,-24,-24,-22,-18,-18,-26,-41,-43,-43,-51,-53,-58,-72,-80,-100
city,San Pedro Garza García,-9,-12,-5,4,10,17,4,-5,0,5,-1,17,8,25,14,9,-5,-1,19,-3,-22,1,-11,-22,-28,-34,-60,-65,-88
city,Scottsdale,-3,-3,5,6,-5,5,-3,11,2,5,2,2,-4,-7,-6,1,-4,-2,-1,-10,-4,-16,-23,-22,-29,-25,-38,-54,-76
city,Seattle,8,11,6,1,1,12,1,0,3,5,7,0,-18,-29,-31,-31,-36,-34,-35,-25,-47,-49,-54,-58,-63,-63,-62,-83,-100
city,Tampa,7,5,2,-4,11,-6,-6,15,5,5,10,5,-15,12,3,10,-1,-1,0,-2,0,-15,-14,-16,-22,-23,-20,-48,-75
city,Toronto,-14,-8,-9,-9,-4,12,-8,-7,-6,-17,-16,-5,-9,-10,-9,-2,-2,-15,-7,5,-18,-21,-28,-37,-49,-49,-54,-76,-100
city,Vancouver,9,1,7,6,7,2,1,3,1,-5,-1,1,-2,-10,-6,-6,-2,-5,-15,-1,1,-6,-17,-24,-36,-33,-36,-53,-98
city,Washington,-5,57,9,0,9,16,13,9,9,2,4,2,6,0,-8,8,-4,-5,1,0,-9,-18,-22,-38,-44,-44,-55,-76,-100